especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
GD35,ARS,CI,16000.5,16290.0,16100.0,-1.23,16699.5,16700.0,16018.5,177215,28652125.0,16300.0,16:30:10,BONOS
GD35,ARS,24hs,15599.0,16400.0,16150.0,-1.22,16150.0,16150.0,16150.0,266310,43009065.0,16350.0,17:00:11,BONOS
GD35,ARS,48hs,16100.0,16145.0,16100.0,-1.53,16350.0,16500.0,15901.0,4061550,656380947.0,16350.0,17:00:29,BONOS
GD35C,CCL,CI,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
GD35C,CCL,48hs,32.0,32.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
GD35D,MEP,CI,32.4,35.0,32.3,0.99,33.5,33.5,32.11,23990,7827.0,31.98,16:30:09,BONOS
GD35D,MEP,24hs,32.65,33.09,33.09,1.94,33.42,33.42,33.09,120000,39903.0,32.46,17:00:14,BONOS
GD35D,MEP,48hs,24.0,34.0,32.72,-2.15,33.4,33.4,32.65,216073,71368.0,33.44,17:00:25,BONOS
GD38,ARS,CI,12450.0,19800.0,19110.0,-0.21,19200.0,19650.0,18620.0,40662,7737965.0,19150.0,16:30:03,BONOS
GD38,ARS,24hs,0.0,19499.5,19499.5,5.07,19499.5,19499.5,19499.5,201,39194.0,18558.0,17:00:25,BONOS
GD38,ARS,48hs,18800.0,19000.0,18950.0,-1.3,19657.0,19657.0,18900.0,1492783,284268485.0,19200.0,17:00:11,BONOS
GD38D,MEP,CI,39.48,40.0,39.5,5.27,38.0,39.5,38.0,38716,15106.0,37.52,16:30:28,BONOS
GD38D,MEP,24hs,36.64,0.0,36.64,1.02,36.3,36.64,36.3,120000,43761.0,36.27,17:00:27,BONOS
GD38D,MEP,48hs,28.67,52.0,39.4,1.03,39.5,39.5,38.5,34314,13342.0,39.0,17:00:29,BONOS
GD41,ARS,CI,16850.0,17000.0,16795.0,-1.78,17003.5,17100.0,16753.5,3864,650868.0,17100.0,16:30:08,BONOS
GD41,ARS,24hs,16758.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
GD41,ARS,48hs,16805.0,16900.0,16989.5,-0.65,17100.0,17395.0,16751.0,443366,75338020.0,17100.0,17:00:10,BONOS
GD41D,MEP,CI,34.0,38.0,34.0,-0.15,34.0,34.0,34.0,1814,616.0,34.05,16:30:24,BONOS
GD41D,MEP,48hs,26.76,40.0,34.1,-2.29,34.6,35.5,34.1,105715,36934.0,34.9,17:00:12,BONOS
GD46,ARS,CI,16450.0,16850.0,16850.0,4.46,16336.5,16850.0,16336.5,14144,2368074.0,16130.5,16:30:28,BONOS
GD46,ARS,48hs,16550.0,16750.0,16750.0,-2.05,17300.0,17300.0,16500.0,168054,28071517.0,17100.0,17:00:10,BONOS
GD46D,MEP,CI,33.01,35.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
GD46D,MEP,48hs,23.15,35.65,34.9,2.35,34.1,35.0,34.1,129468,44301.0,34.1,17:00:10,BONOS
PAP0,ARS,24hs,0.0,4040.0,4040.0,2.28,4036.0,4040.0,4036.0,136842,5528142.0,3950.0,17:00:10,BONOS
PAP0,ARS,48hs,4011.0,4138.0,4036.0,6.14,3800.0,4075.5,3800.0,1591,63978.0,3802.5,17:00:22,BONOS
PARP,ARS,CI,3920.0,4080.0,4100.0,-0.22,4000.0,4110.0,4000.0,5338,218831.0,4109.0,16:30:28,BONOS
PARP,ARS,24hs,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
PARP,ARS,48hs,3078.5,4104.0,4100.0,1.23,4010.0,4124.5,3900.0,146770,6013719.0,4050.0,17:00:13,BONOS
PBA25,ARS,CI,94.05,105.0,94.05,-0.58,94.47,94.75,92.02,8366000,7856437.0,94.6,16:30:18,BONOS
PBA25,ARS,24hs,92.1,94.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
PBA25,ARS,48hs,93.0,95.0,94.48,-0.65,95.1,95.1,93.04,70890000,66868136.0,95.1,17:00:10,BONOS
PBY24,ARS,CI,112.0,113.45,112.1,-1.41,112.5,113.9,111.6,1622152,1822349.0,113.7,16:30:29,BONOS
PBY24,ARS,48hs,112.2,112.25,112.25,0.4,113.5,113.5,112.0,8165213,9178787.0,111.8,17:00:10,BONOS
PMM29,ARS,CI,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
PMM29,ARS,48hs,39900.0,40450.0,40100.0,-1.72,40700.0,41000.0,40000.0,205000,83372500.0,40800.0,17:00:10,BONOS
PR13,ARS,CI,778.0,804.0,791.9,1.53,779.0,796.0,777.0,28896,228499.0,780.0,16:30:01,BONOS
PR13,ARS,48hs,800.0,814.0,800.0,2.56,800.0,810.0,772.0,565075,4503899.0,780.0,17:00:19,BONOS
SA24D,ARS,48hs,35000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
T2V3,ARS,CI,26525.0,26640.0,26525.0,-0.8,27190.0,27190.0,26500.0,142572,37971879.0,26740.0,16:30:20,BONOS
T2V3,ARS,24hs,26580.0,26650.0,26650.0,-0.37,26789.0,26789.0,26650.0,5211886,1389261140.0,26750.0,17:00:27,BONOS
T2V3,ARS,48hs,26655.0,27200.0,26650.0,-0.28,27150.0,27150.0,26625.0,12037450,3215796662.0,26725.0,17:00:15,BONOS
T2V4,ARS,48hs,28916.5,29380.0,29400.0,0.41,29600.0,29600.0,28959.0,2047,603530.0,29280.0,17:00:22,BONOS
T2X3,ARS,CI,494.1,495.0,495.0,0.41,500.0,502.8,493.0,8677943,43004283.0,493.0,16:30:23,BONOS
T2X3,ARS,24hs,495.35,496.0,496.0,0.61,496.0,496.0,496.0,80000000,396800000.0,493.0,17:00:10,BONOS
T2X3,ARS,48hs,496.75,515.0,496.8,0.33,497.5,504.0,494.05,869806272,4319937289.0,495.15,17:00:16,BONOS
T2X4,ARS,CI,377.6,386.2,384.7,0.63,385.55,385.55,379.65,17053442,64845571.0,382.3,16:30:28,BONOS
T2X4,ARS,48hs,381.6,550.0,381.75,0.2,385.0,386.3,380.0,34441355,131595365.0,381.0,17:00:16,BONOS
TC25P,ARS,CI,1045.0,1098.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TC25P,ARS,48hs,900.0,1130.0,1090.0,-0.46,1093.0,1112.0,1080.0,103746,1140079.0,1095.0,17:00:19,BONOS
TDA24,ARS,CI,29300.0,29475.0,29300.0,-0.33,29100.0,29475.0,28998.5,5571,1631545.0,29398.0,16:30:21,BONOS
TDA24,ARS,24hs,29268.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TDA24,ARS,48hs,29100.0,30400.0,29380.0,1.07,29200.0,29980.0,28900.0,30352376,8922685508.0,29070.0,17:00:17,BONOS
TDF24,ARS,CI,28955.0,29200.0,29200.0,0.9,29599.0,29599.0,28950.5,105567,30825855.0,28940.0,16:30:24,BONOS
TDF24,ARS,24hs,29083.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TDF24,ARS,48hs,29175.0,29313.0,29199.0,0.31,29313.0,29313.0,29150.0,3412299,996402087.0,29110.0,16:56:35,BONOS
TDL23,ARS,CI,27783.0,27990.0,27783.0,0.3,27841.0,27989.5,27712.5,279438,77586725.0,27700.0,16:30:07,BONOS
TDL23,ARS,48hs,1.0,27919.0,27919.0,0.28,27570.0,27980.0,27570.0,6755529,1885927205.0,27840.0,17:00:02,BONOS
TDS23,ARS,CI,28835.0,29200.0,29195.0,0.67,29065.0,29195.0,28862.0,115596,33530577.0,29000.0,16:30:12,BONOS
TDS23,ARS,48hs,29175.0,29220.0,29175.0,0.38,29646.0,29646.0,29000.0,11566962,3376112436.0,29065.0,17:00:29,BONOS
TO23,ARS,CI,86.24,88.0,87.99,1.08,88.5,89.45,86.24,21218092,18540165.0,87.05,16:30:24,BONOS
TO23,ARS,24hs,87.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TO23,ARS,48hs,87.2,140.0,87.9,0.23,89.0,89.0,87.0,201501315,176464450.0,87.7,17:00:17,BONOS
