especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
GM,ARS,48hs,3313.0,0.79,3308.5,3287.0,17:00:01,CEDEARS
GMD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
GOGLD,MEP,CI,2.24,3.23,2.25,2.17,16:30:00,CEDEARS
GOGLD,MEP,48hs,2.21,-1.34,2.24,2.24,17:00:01,CEDEARS
GOLD,ARS,CI,8889.0,3.63,8650.0,8578.0,16:30:00,CEDEARS
GOLD,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
GOLD,ARS,48hs,8845.0,2.02,8960.0,8669.5,17:00:01,CEDEARS
GOLDD,MEP,CI,18.1,0.56,18.1,18.0,16:30:00,CEDEARS
GOLDD,MEP,48hs,18.1,3.72,17.4,17.45,17:00:01,CEDEARS
GOOGL,ARS,CI,1061.5,0.43,1063.0,1057.0,16:30:00,CEDEARS
GOOGL,ARS,24hs,1096.0,2.91,1076.0,1065.0,17:00:00,CEDEARS
GOOGL,ARS,48hs,1075.5,1.56,1082.0,1059.0,17:00:01,CEDEARS
GPRK,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
GPRK,ARS,48hs,4982.5,-2.29,5201.0,5099.5,17:00:01,CEDEARS
GRMN,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
GRMN,ARS,48hs,17638.5,1.92,17700.5,17307.0,17:00:01,CEDEARS
GS,ARS,CI,12661.0,3.26,13061.5,12261.5,16:30:00,CEDEARS
GS,ARS,48hs,12868.0,0.59,12789.0,12792.5,17:00:01,CEDEARS
GSD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
GSD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
GSK,ARS,48hs,4495.5,-1.57,4536.5,4567.0,17:00:01,CEDEARS
GSKD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
HAL,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
HAL,ARS,48hs,8620.0,1.71,8550.5,8475.0,17:00:01,CEDEARS
HALD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
HD,ARS,CI,5170.0,0.65,5045.0,5136.5,16:30:00,CEDEARS
HD,ARS,48hs,5177.0,3.78,4979.0,4988.5,17:00:01,CEDEARS
HDB,ARS,48hs,18046.5,0.66,18066.0,17929.0,17:00:01,CEDEARS
HDD,MEP,48hs,10.0,7.12,10.0,9.34,17:00:01,CEDEARS
HL,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
HL,ARS,48hs,2700.0,2.66,2700.0,2630.0,17:00:01,CEDEARS
HMY,ARS,CI,2223.0,4.61,2150.0,2125.0,16:30:00,CEDEARS
HMY,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
HMY,ARS,48hs,2236.5,3.81,2189.5,2154.5,17:00:01,CEDEARS
HMYD,MEP,CI,4.52,2.73,4.52,4.4,16:30:00,CEDEARS
HMYD,MEP,48hs,4.65,2.42,4.58,4.54,17:00:01,CEDEARS
HOG,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
HOG,ARS,48hs,6309.0,4.84,6176.0,6018.0,17:00:01,CEDEARS
HON,ARS,CI,13300.0,10.58,13300.0,12027.0,16:30:00,CEDEARS
HON,ARS,48hs,13172.0,-1.02,13241.0,13307.5,17:00:01,CEDEARS
HSBC,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
HSBC,ARS,48hs,10159.0,0.5,10213.0,10108.0,17:00:01,CEDEARS
HSY,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
HSY,ARS,48hs,6366.5,4.51,6092.0,6091.5,17:00:01,CEDEARS
HSYD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
HUT,ARS,CI,9000.0,5.57,9000.0,8525.0,16:30:00,CEDEARS
HUT,ARS,48hs,8750.5,3.23,8759.5,8476.5,17:00:01,CEDEARS
HUTD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
HUTD,MEP,48hs,17.95,16.18,17.95,15.45,17:00:01,CEDEARS
IBM,ARS,CI,14200.0,3.84,14000.0,13675.0,16:30:00,CEDEARS
IBM,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
IBM,ARS,48hs,14030.0,2.43,13800.0,13697.0,17:00:01,CEDEARS
IBMD,MEP,CI,28.0,5.07,28.0,26.65,16:30:00,CEDEARS
IBMD,MEP,48hs,29.75,9.38,27.0,27.2,17:00:01,CEDEARS
IBN,ARS,48hs,0.0,0.0,0.0,0.0,,CEDEARS
INFY,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
INFY,ARS,48hs,8200.0,-0.41,8326.0,8234.0,17:00:01,CEDEARS
INTC,ARS,CI,3547.0,4.34,3424.5,3399.5,16:30:00,CEDEARS
INTC,ARS,48hs,3549.0,3.67,3500.0,3423.5,17:00:01,CEDEARS
INTCD,MEP,CI,6.82,0.44,6.82,6.79,16:30:00,CEDEARS
INTCD,MEP,48hs,7.3,4.89,7.28,6.96,17:00:01,CEDEARS
ITUB,ARS,CI,3100.0,4.38,3100.0,2970.0,16:30:00,CEDEARS
ITUB,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
ITUB,ARS,48hs,3020.0,-0.45,3054.5,3033.5,17:00:01,CEDEARS
ITUBD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
ITUBD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
IWM,ARS,CI,9873.5,1.95,9684.0,9685.0,16:30:00,CEDEARS
IWM,ARS,48hs,10071.0,4.85,9694.0,9605.5,17:00:01,CEDEARS
IWMD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
IWMD,MEP,48hs,20.2,1.0,20.15,20.0,17:00:01,CEDEARS
JD,ARS,CI,9000.0,4.34,9050.0,8625.5,16:30:00,CEDEARS
JD,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
JD,ARS,48hs,9028.0,3.12,8823.5,8755.0,17:00:01,CEDEARS
JDD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
JMIA,ARS,CI,1910.0,12.29,1913.5,1701.0,16:30:00,CEDEARS
JMIA,ARS,48hs,1899.0,7.81,1850.0,1761.5,17:00:01,CEDEARS
JMIAD,MEP,48hs,3.9,11.43,3.9,3.5,17:00:01,CEDEARS
JNJ,ARS,CI,5610.0,0.65,5650.0,5574.0,16:30:00,CEDEARS
JNJ,ARS,48hs,5699.0,0.71,5655.0,5659.0,17:00:01,CEDEARS
JNJD,MEP,CI,11.0,-3.08,10.8,11.35,16:30:00,CEDEARS
JNJD,MEP,48hs,11.5,0.88,11.25,11.4,17:00:01,CEDEARS
