tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
CEDEARS;PEP;PEPD;PEPC;PEP;Pepsico Inc;NASDAQ;6;True
CEDEARS;DESP;DESPD;DESPC;DESP;Despegar.Com Corp.;NYSE;1;True
CEDEARS;ADBE;ADBED;ADBEC;ADBE;Adobe Systems Incorporated;NASDAQ;22;True
CEDEARS;FSLR;FSLRD;;FSLR;First Solar Inc.;NASDAQ;3;True
CEDEARS;GM;GMD;;GM;General Motors Co;NYSE;6;True
CEDEARS;MU;MUD;;MU;Micron Technology Inc;NASDAQ GS;5;True
CEDEARS;AAL;AALD;;AAL;American Airlines Group Inc;NASDAQ;15;True
CEDEARS;UNH;UNHD;UNHC;UNH;UnitedHealth Group Inc.;NYSE;33;True
CEDEARS;LYG;LYGD;LYGC;LYG;Lloyds Banking Group Plc;NYSE;2;True
CEDEARS;BIOX;BIOXD;BIOXC;BIOX;Bioceres Crop Solutions Corp.;NYSE American;0,5;True
CEDEARS;MOS;MOSD;;MOS;The Mosaic Co;NYSE;5;True
CEDEARS;NUE;;;NUE;Nucor Corp;NYSE;16;True
CEDEARS;LRCX;;;LRCX;Lam Research Corp;NASDAQ;56;True
CEDEARS;RIO;RIOD;RIOC;RIO;Rio Tinto Plc;NYSE;4;True
CEDEARS;IBM;IBMD;IBMC;IBM;International Business Machines;NYSE;5;True
CEDEARS;ABBV;ABBVD;ABBVC;ABBV;AbbVie Inc.;NYSE;10;True
CEDEARS;SBS;SBSD;;SBS;Companhia de Saneamento Basico do Estado de São Paulo–Sabesp;NYSE;0,5;True
CEDEARS;PSX;PSXD;PSXC;PSX;Phillips 66;NYSE;6;True
CEDEARS;NG;NGD;;NG;Novagold Resources INC.;NYSE;0,25;True
CEDEARS;ABEV;ABEVD;;ABEV;Ambev S.A.;NASDAQ;0,333333333;True
CEDEARS;UAL;UALD;;UAL;United Airlines Holdings Inc.;NASDAQ GS;5;True
CEDEARS;F;FD;;F;Ford Motor Company;NYSE;1;True
CEDEARS;UL;ULD;ULC;UL;Unilever PLC - Sponsored;NYSE;3;True
CEDEARS;GGB;GGBD;;GGB;Gerdau S.A.;NYSE;0,25;True
CEDEARS;FCX;FCXD;FCXC;FCX;Freeport Mcmoran Copper & Gold Inc.;NYSE;3;True
CEDEARS;MSTR;MSTRD;;MSTR;Microstrategy Inc Cl A New;NASDAQ GS;20;True
CEDEARS;AIG;AIGD;AIGC;AIG;American International Group (AIG);NYSE;5;True
CEDEARS;CSCO;CSCOD;CSCOC;CSCO;Cisco Systems Inc;NASDAQ;5;True
