especie,nombre,ultimo,var,hora
GBNY,Generations Bancorp NY Inc. Common Stock,$9.35,-0.213%,2023-06-27 20:16:06.697
GBR,New Concept Energy Inc Common Stock,$1.21,3.154%,2023-06-27 20:16:06.697
GBTG,Global Business Travel Group Inc. Class A Common Stock,$7.33,-3.17%,2023-06-27 20:16:06.697
GBX,Greenbrier Companies Inc. (The) Common Stock,$32.28,0.749%,2023-06-27 20:16:06.697
GCBC,Greene County Bancorp Inc. Common Stock,$31.20,2.262%,2023-06-27 20:16:06.697
GCI,Gannett Co. Inc. Common Stock,$2.33,6.393%,2023-06-27 20:16:06.697
GCMG,GCM Grosvenor Inc. Class A Common Stock,$7.41,0.00%,2023-06-27 20:16:06.697
GCMGW,GCM Grosvenor Inc. Warrant,$0.281,-3.103%,2023-06-27 20:16:06.697
GCO,Genesco Inc. Common Stock,$25.55,-0.854%,2023-06-27 20:16:06.697
GCT,GigaCloud Technology Inc Class A Ordinary Shares,$7.84,0.771%,2023-06-27 20:16:06.697
GCTK,GlucoTrack Inc. Common Stock,$0.35,2.941%,2023-06-27 20:16:06.697
GCV,Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock,$4.365,1.276%,2023-06-27 20:16:06.697
GD,General Dynamics Corporation Common Stock,$212.06,-0.014%,2023-06-27 20:16:06.697
GDC,GD Culture Group Limited Common Stock,$4.04,0.00%,2023-06-27 20:16:06.697
GDDY,GoDaddy Inc. Class A Common Stock,$71.25,-0.252%,2023-06-27 20:16:06.697
GDEN,Golden Entertainment Inc. Common Stock,$41.94,1.771%,2023-06-27 20:16:06.697
GDEV,GDEV Inc. Ordinary Shares,$6.46,-1.674%,2023-06-27 20:16:06.697
GDEVW,GDEV Inc. Warrant,$0.135,12.313%,2023-06-27 20:16:06.697
GDHG,Golden Heaven Group Holdings Ltd. Ordinary Shares,$4.51,0.00%,2023-06-27 20:16:06.697
GDL,GDL Fund The Common Shares of Beneficial Interest,$7.80,0.257%,2023-06-27 20:16:06.697
GDL^C,The GDL Fund Series C Cumulative Puttable and Callable Preferred Shares,$48.7001,0.00%,2023-06-27 20:16:06.697
GDNR,Gardiner Healthcare Acquisitions Corp. Common Stock,$10.70,-1.835%,2023-06-27 20:16:06.697
GDNRU,Gardiner Healthcare Acquisitions Corp. Unit,$10.87,5.842%,2023-06-27 20:16:06.697
GDNRW,Gardiner Healthcare Acquisitions Corp. Warrant,$0.07,5.422%,2023-06-27 20:16:06.697
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,$12.259,-0.09%,2023-06-27 20:16:06.697
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$18.28,1.387%,2023-06-27 20:16:06.697
GDRX,GoodRx Holdings Inc. Class A Common Stock,$5.46,1.299%,2023-06-27 20:16:06.697
GDS,GDS Holdings Limited ADS,$11.72,2.627%,2023-06-27 20:16:06.697
GDST,Goldenstone Acquisition Limited Common Stock,$10.62,0.616%,2023-06-27 20:16:06.697
GDSTR,Goldenstone Acquisition Limited Rights,$0.1785,0.00%,2023-06-27 20:16:06.697
GDSTU,Goldenstone Acquisition Limited Units,$10.70,0.00%,2023-06-27 20:16:06.697
GDSTW,Goldenstone Acquisition Limited Warrants,$0.0384,0.00%,2023-06-27 20:16:06.697
GDTC,CytoMed Therapeutics Limited Ordinary Shares,$2.85,-0.697%,2023-06-27 20:16:06.697
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,$20.74,0.875%,2023-06-27 20:16:06.697
GDV^H,The Gabelli Dividend & Income Trust 5.375% Series H Cumulative Preferred Shares,$24.63,-0.041%,2023-06-27 20:16:06.697
GDV^K,The Gabelli Dividend & Income Trust 4.250% Series K Cumulative Preferred Shares,$19.69,0.153%,2023-06-27 20:16:06.697
GDYN,Grid Dynamics Holdings Inc. Class A Common Stock,$9.03,0.557%,2023-06-27 20:16:06.697
GE,General Electric Company Common Stock,$104.92,0.45%,2023-06-27 20:16:06.697
GECC,Great Elm Capital Corp. Common Stock,$7.63,0.131%,2023-06-27 20:16:06.697
GECCM,Great Elm Capital Corp. 6.75% Notes Due 2025,$24.8299,0.771%,2023-06-27 20:16:06.697
GECCN,Great Elm Capital Corp. 6.5% Notes due 2024,$24.8999,0.164%,2023-06-27 20:16:06.697
GECCO,Great Elm Capital Corp. 5.875% Notes due 2026,$23.65,0.595%,2023-06-27 20:16:06.697
GEF,Greif Inc. Class A Common Stock,$68.71,2.506%,2023-06-27 20:16:06.697
GEG,Great Elm Group Inc. Common Stock,$2.04,0.493%,2023-06-27 20:16:06.697
GEGGL,Great Elm Group Inc.  7.25% Notes due 2027,$20.09,-6.323%,2023-06-27 20:16:06.697
GEHC,GE HealthCare Technologies Inc. Common Stock ,$77.07,-0.938%,2023-06-27 20:16:06.697
GEHI,Gravitas Education Holdings Inc. American depositary shares each representing twenty Class A ordinary shares,$14.50,-4.605%,2023-06-27 20:16:06.697
GEL,Genesis Energy L.P. Common Units,$9.44,-0.527%,2023-06-27 20:16:06.697
GEN,Gen Digital Inc. Common Stock,$18.46,2.215%,2023-06-27 20:16:06.697
GENC,Gencor Industries Inc. Common Stock,$14.51,1.398%,2023-06-27 20:16:06.697
GENE,Genetic Technologies Ltd ADS,$0.799,-0.733%,2023-06-27 20:16:06.697
GENI,Genius Sports Limited Ordinary Shares,$5.84,-1.351%,2023-06-27 20:16:06.697
GENQ,Genesis Unicorn Capital Corp. Class A Common Stock,$10.7899,0.652%,2023-06-27 20:16:06.697
GEO,Geo Group Inc (The) REIT,$7.21,1.549%,2023-06-27 20:16:06.697
GEOS,Geospace Technologies Corporation Common Stock (Texas),$6.715,-1.25%,2023-06-27 20:16:06.697
GER,Goldman Sachs MLP Energy Renaissance Fund,$15.88,-0.376%,2023-06-27 20:16:06.697
GERN,Geron Corporation Common Stock,$3.05,-0.651%,2023-06-27 20:16:06.697
GES,Guess? Inc. Common Stock,$19.79,-0.302%,2023-06-27 20:16:06.697
GETR,Getaround Inc. Common Stock,$0.381,-1.295%,2023-06-27 20:16:06.697
GETY,Getty Images Holdings Inc. Class A Common Stock,$4.84,-0.206%,2023-06-27 20:16:06.697
GEVO,Gevo Inc. Common Stock,$1.33,1.527%,2023-06-27 20:16:06.697
GF,New Germany Fund Inc. (The) Common Stock,$8.84,0.569%,2023-06-27 20:16:06.697
GFAI,Guardforce AI Co. Limited Ordinary Shares,$5.06,0.797%,2023-06-27 20:16:06.697
GFAIW,Guardforce AI Co. Limited Warrant,$0.309,2.014%,2023-06-27 20:16:06.697
GFF,Griffon Corporation Common Stock,$39.23,2.885%,2023-06-27 20:16:06.697
GFGD,The Growth for Good Acquisition Corporation Class A Ordinary Shares,$10.43,0.00%,2023-06-27 20:16:06.697
GFGDU,The Growth for Good Acquisition Corporation Unit,$10.56,0.095%,2023-06-27 20:16:06.697
GFGDW,The Growth for Good Acquisition Corporation Warrant,$0.0709,2.605%,2023-06-27 20:16:06.697
GFI,Gold Fields Limited American Depositary Shares,$13.70,-3.521%,2023-06-27 20:16:06.697
GFL,GFL Environmental Inc. Subordinate voting shares no par value,$37.64,0.993%,2023-06-27 20:16:06.697
GFOR,Graf Acquisition Corp. IV Common Stock,$10.32,0.097%,2023-06-27 20:16:06.697
GFS,GlobalFoundries Inc. Ordinary Shares,$62.83,4.962%,2023-06-27 20:16:06.697
GFX,Golden Falcon Acquisition Corp. Class A Common Stock,$10.25,0.00%,2023-06-27 20:16:06.697
GGAA,Genesis Growth Tech Acquisition Corp. Class A Ordinary Shares,$11.825,0.896%,2023-06-27 20:16:06.697
GGAAU,Genesis Growth Tech Acquisition Corp. Unit,$12.05,-9.057%,2023-06-27 20:16:06.697
GGAAW,Genesis Growth Tech Acquisition Corp. Warrant,$0.1638,37.071%,2023-06-27 20:16:06.697
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$16.77,-4.553%,2023-06-27 20:16:06.697
GGB,Gerdau S.A. Common Stock,$5.29,0.00%,2023-06-27 20:16:06.697
GGE,Green Giant Inc. Common Stock,$2.2499,4.647%,2023-06-27 20:16:06.697
GGG,Graco Inc. Common Stock,$85.78,1.551%,2023-06-27 20:16:06.697
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.71,-0.536%,2023-06-27 20:16:06.697
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.18,0.226%,2023-06-27 20:16:06.697
GGR,Gogoro Inc. Ordinary Shares,$3.29,-0.904%,2023-06-27 20:16:06.697
GGROW,Gogoro Inc. Warrant,$0.3825,-1.923%,2023-06-27 20:16:06.697
GGT,Gabelli Multi-Media Trust Inc. (The) Common Stock,$6.90,1.92%,2023-06-27 20:16:06.697
GGT^E,Gabelli Multi-Media Trust Inc. (The) 5.125% Series E Cumulative Preferred Stock,$23.73,-0.503%,2023-06-27 20:16:06.697
GGT^G,Gabelli Multi-Media Trust Inc. (The) 5.125% Series G Cumulative Preferred Shares,$23.95,0.715%,2023-06-27 20:16:06.697
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,$11.69,1.564%,2023-06-27 20:16:06.697
GH,Guardant Health Inc. Common Stock,$36.86,3.336%,2023-06-27 20:16:06.697
GHC,Graham Holdings Company Common Stock,$571.47,0.652%,2023-06-27 20:16:06.697
GHG,GreenTree Hospitality Group Ltd. American depositary shares each representing one Class A ordinary share,$4.97,-8.471%,2023-06-27 20:16:06.697
GHI,Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests,$16.60,0.728%,2023-06-27 20:16:06.697
GHIX,Gores Holdings IX Inc. Class A Common Stock,$10.24,-0.098%,2023-06-27 20:16:06.697
GHL,Greenhill & Co. Inc. Common Stock,$14.61,0.00%,2023-06-27 20:16:06.697
GHLD,Guild Holdings Company Class A Common Stock,$11.55,-2.202%,2023-06-27 20:16:06.697
GHM,Graham Corporation Common Stock,$12.94,1.094%,2023-06-27 20:16:06.697
GHRS,GH Research PLC Ordinary Shares,$12.37,1.979%,2023-06-27 20:16:06.697
GHSI,Guardion Health Sciences Inc. Common Stock,$6.802,-0.191%,2023-06-27 20:16:06.697
GHY,PGIM Global High Yield Fund Inc.,$10.99,-0.363%,2023-06-27 20:16:06.697
GIB,CGI Inc. Common Stock,$103.16,1.585%,2023-06-27 20:16:06.697
GIC,Global Industrial Company Common Stock,$27.68,1.952%,2023-06-27 20:16:06.697
GIFI,Gulf Island Fabrication Inc. Common Stock,$2.99,-6.27%,2023-06-27 20:16:06.697
GIGM,GigaMedia Limited Ordinary Shares,$1.37,-1.792%,2023-06-27 20:16:06.697
GIII,G-III Apparel Group LTD. Common Stock,$19.75,2.438%,2023-06-27 20:16:06.697
GIL,Gildan Activewear Inc. Class A Sub. Vot. Common Stock,$31.42,2.512%,2023-06-27 20:16:06.697
GILD,Gilead Sciences Inc. Common Stock,$76.01,-0.718%,2023-06-27 20:16:06.697
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,$6.09,6.098%,2023-06-27 20:16:06.697
GIM,Templeton Global Income Fund Inc. Common Stock,$4.17,0.482%,2023-06-27 20:16:06.697
GIPR,Generation Income Properties Inc. Common Stock,$3.83,-1.795%,2023-06-27 20:16:06.697
GIPRW,Generation Income Properties Inc Warrant,$0.3768,0.00%,2023-06-27 20:16:06.697
GIS,General Mills Inc. Common Stock,$80.90,-1.173%,2023-06-27 20:16:06.697
GJO,Synthetic Fixed-Income Securities Inc. Synthetic Fixed-Income Securities Inc. on behalf of STRATS(SM) Trust for Wal-Mart Stores Inc. Securities Series 2004-5,$24.40,-0.853%,2023-06-27 20:16:06.697
GJP,Synthetic Fixed-Income Securities Inc. Synthetic Fixed-Income Securities Inc. on behalf of STRATS (SM) Trust for Dominion Resources Inc. Securities Series 2005-6 Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates,$24.30,-2.527%,2023-06-27 20:16:06.697
GJR,Synthetic Fixed-Income Securities Inc. STRATS Trust for Procter&Gamble Securities Series 2006-1,$25.00,0.00%,2023-06-27 20:16:06.697
GJS,Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities Series 2006-2,$21.85,-0.591%,2023-06-27 20:16:06.697
GJT,Synthetic Fixed-Income Securities Inc. Synthetic Fixed-Income Securities Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates Series 2006-3,$21.90,-0.137%,2023-06-27 20:16:06.697
GKOS,Glaukos Corporation Common Stock,$69.52,1.061%,2023-06-27 20:16:06.697
GL,Globe Life Inc. Common Stock,$108.24,1.14%,2023-06-27 20:16:06.697
GL^D,Globe Life Inc. 4.25% Junior Subordinated Debentures due 2061,$18.77,-0.106%,2023-06-27 20:16:06.697
GLAD,Gladstone Capital Corporation Common Stock,$9.47,0.106%,2023-06-27 20:16:06.697
GLBE,Global-E Online Ltd. Ordinary Shares,$37.82,3.192%,2023-06-27 20:16:06.697
GLBS,Globus Maritime Limited Common Stock,$0.90,-2.534%,2023-06-27 20:16:06.697
GLBZ,Glen Burnie Bancorp Common Stock,$7.7205,-1.111%,2023-06-27 20:16:06.697
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,$8.06,2.414%,2023-06-27 20:16:06.697
GLDG,GoldMining Inc. Common Shares,$0.88,0.171%,2023-06-27 20:16:06.697
GLG,TD Holdings Inc. Common Stock,$0.61,0.544%,2023-06-27 20:16:06.697
GLLI,Globalink Investment Inc. Common Stock,$10.56,0.002%,2023-06-27 20:16:06.697
GLLIR,Globalink Investment Inc. Rights,$0.14,20.069%,2023-06-27 20:16:06.697
GLLIU,Globalink Investment Inc. Unit,$10.70,0.00%,2023-06-27 20:16:06.697
GLLIW,Globalink Investment Inc. Warrants,$0.0211,28.659%,2023-06-27 20:16:06.697
GLMD,Galmed Pharmaceuticals Ltd. Ordinary Shares,$3.181,-4.76%,2023-06-27 20:16:06.697
GLNG,Golar Lng Ltd,$19.98,-0.794%,2023-06-27 20:16:06.697
GLO,Clough Global Opportunities Fund Common Stock,$4.91,1.446%,2023-06-27 20:16:06.697
GLOB,Globant S.A. Common Shares,$179.90,2.953%,2023-06-27 20:16:06.697
GLOG^A,GasLog LP. 8.75% Series A Cumulative Redeemable Perpetual Preference Shares,$24.30,1.25%,2023-06-27 20:16:06.697
GLOP,GasLog Partners LP Common Units representing limited partnership interests,$8.60,0.116%,2023-06-27 20:16:06.697
GLOP^A,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$22.22,0.04%,2023-06-27 20:16:06.697
GLOP^B,GasLog Partners LP 8.200% Series B Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$23.74,0.978%,2023-06-27 20:16:06.697
GLOP^C,GasLog Partners LP 8.500% Series C Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,$22.0823,-0.125%,2023-06-27 20:16:06.697
GLP,Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,$30.31,-0.623%,2023-06-27 20:16:06.697
GLP^A,Global Partners LP 9.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,$26.33,0.19%,2023-06-27 20:16:06.697
GLP^B,Global Partners LP 9.50% Series B Fixed Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,$25.755,0.097%,2023-06-27 20:16:06.697
GLPG,Galapagos NV American Depositary Shares,$40.92,0.962%,2023-06-27 20:16:06.697
GLPI,Gaming and Leisure Properties Inc. Common Stock,$47.71,-0.397%,2023-06-27 20:16:06.697
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.09,0.661%,2023-06-27 20:16:06.697
GLRE,Greenlight Capital Re Ltd. Class A Ordinary Shares,$9.89,0.101%,2023-06-27 20:16:06.697
GLSI,Greenwich LifeSciences Inc. Common Stock,$9.58,-1.237%,2023-06-27 20:16:06.697
GLST,Global Star Acquisition Inc. Class A Common Stock,$10.45,0.00%,2023-06-27 20:16:06.697
GLSTW,Global Star Acquisition Inc. Warrants,$0.0301,0.669%,2023-06-27 20:16:06.697
GLT,Glatfelter Corporation Common Stock,$3.08,-0.645%,2023-06-27 20:16:06.697
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.57,0.00%,2023-06-27 20:16:06.697
GLTO,Galecto Inc. Common Stock,$2.56,1.587%,2023-06-27 20:16:06.697
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.00,-0.85%,2023-06-27 20:16:06.697
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$50.08,0.00%,2023-06-27 20:16:06.697
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.92,0.322%,2023-06-27 20:16:06.697
GLUE,Monte Rosa Therapeutics Inc. Common Stock,$6.81,4.608%,2023-06-27 20:16:06.697
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.475,1.201%,2023-06-27 20:16:06.697
GLW,Corning Incorporated Common Stock,$34.69,1.611%,2023-06-27 20:16:06.697
GLYC,GlycoMimetics Inc. Common Stock,$1.81,-1.093%,2023-06-27 20:16:06.697
GM,General Motors Company Common Stock,$37.48,2.125%,2023-06-27 20:16:06.697
GMAB,Genmab A/S ADS,$37.56,-1.675%,2023-06-27 20:16:06.697
GMBL,Esports Entertainment Group Inc. Common Stock,$1.21,-7.634%,2023-06-27 20:16:06.697
GMBLP,Esports Entertainment Group Inc. 10.0% Series A Cumulative Redeemable Convertible Preferred Stock,$5.30,0.189%,2023-06-27 20:16:06.697
GMBLW,Esports Entertainment Group Inc. Warrant,$0.043,0.00%,2023-06-27 20:16:06.697
GMBLZ,Esports Entertainment Group Inc. Warrant,$0.01,-16.667%,2023-06-27 20:16:06.697
GMDA,Gamida Cell Ltd. Ordinary Shares,$1.74,-0.571%,2023-06-27 20:16:06.697
GME,GameStop Corporation Common Stock,$23.58,2.433%,2023-06-27 20:16:06.697
GMED,Globus Medical Inc. Class A Common Stock,$58.32,0.90%,2023-06-27 20:16:06.697
GMFIW,Aetherium Acquisition Corp. Warrant,$0.0198,-1.00%,2023-06-27 20:16:06.697
GMGI,Golden Matrix Group Inc. Common Stock,$2.13,1.429%,2023-06-27 20:16:06.697
GMRE,Global Medical REIT Inc. Common Stock,$8.92,1.479%,2023-06-27 20:16:06.697
GMRE^A,Global Medical REIT Inc. Series A Cumulative Redeemable Preferred Stock,$25.2708,1.083%,2023-06-27 20:16:06.697
GMS,GMS Inc. Common Stock,$71.00,4.797%,2023-06-27 20:16:06.697
GMVD,G Medical Innovations Holdings Ltd. Ordinary Shares,$0.3815,0.342%,2023-06-27 20:16:06.697
GMVDW,G Medical Innovations Holdings Ltd. Warrants,$2.30,9.524%,2023-06-27 20:16:06.697
GNE,Genie Energy Ltd. Class B Common Stock Stock,$13.59,1.645%,2023-06-27 20:16:06.697
GNFT,GENFIT S.A. American Depositary Shares,$3.94,-6.635%,2023-06-27 20:16:06.697
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),$13.48,-1.318%,2023-06-27 20:16:06.697
GNL,Global Net Lease Inc. Common Stock,$10.08,2.024%,2023-06-27 20:16:06.697
GNL^A,Global Net Lease Inc. 7.25% Series A Cumulative Redeemable Preferred Stock $0.01 par value per share,$20.90,2.645%,2023-06-27 20:16:06.697
GNL^B,Global Net Lease Inc. 6.875% Series B Cumulative Redeemable Perpetual Preferred Stock,$20.53,2.394%,2023-06-27 20:16:06.697
GNLN,Greenlane Holdings Inc. Class A Common Stock,$1.615,-16.321%,2023-06-27 20:16:06.697
GNLX,Genelux Corporation Common Stock,$32.20,12.195%,2023-06-27 20:16:06.697
GNPX,Genprex Inc. Common Stock,$0.7401,-0.094%,2023-06-27 20:16:06.697
GNRC,Generac Holdlings Inc. Common Stock,$142.53,8.793%,2023-06-27 20:16:06.697
GNS,Genius Group Limited Ordinary Shares,$0.8315,6.33%,2023-06-27 20:16:06.697
GNSS,Genasys Inc. Common Stock,$2.55,-0.778%,2023-06-27 20:16:06.697
GNT,GAMCO Natural Resources Gold & Income Trust,$4.97,-0.201%,2023-06-27 20:16:06.697
GNT^A,GAMCO Natural Resources Gold & Income Tust  5.20% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.00,-0.525%,2023-06-27 20:16:06.697
GNTA,Genenta Science S.p.A. American Depositary Shares,$5.48,2.048%,2023-06-27 20:16:06.697
GNTX,Gentex Corporation Common Stock,$28.78,3.451%,2023-06-27 20:16:06.697
GNTY,Guaranty Bancshares Inc. Common Stock,$26.83,0.262%,2023-06-27 20:16:06.697
GNW,Genworth Financial Inc Common Stock,$5.01,2.245%,2023-06-27 20:16:06.697
GO,Grocery Outlet Holding Corp. Common Stock,$29.60,1.162%,2023-06-27 20:16:06.697
GOCO,GoHealth Inc. Class A Common Stock,$19.63,3.207%,2023-06-27 20:16:06.697
GODNU,Golden Star Acquisition Corporation Unit,$10.32,0.194%,2023-06-27 20:16:06.697
GOEV,Canoo Inc. Class A Common Stock,$0.4245,-6.022%,2023-06-27 20:16:06.697
GOEVW,Canoo Inc. Warrant,$0.085,-8.108%,2023-06-27 20:16:06.697
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,$15.80,0.958%,2023-06-27 20:16:06.697
GOGL,Golden Ocean Group Limited Common Stock,$7.48,-1.319%,2023-06-27 20:16:06.697
GOGN,GoGreen Investments Corporation Class A Ordinary Shares,$10.60,8.495%,2023-06-27 20:16:06.697
GOGO,Gogo Inc. Common Stock,$16.76,1.761%,2023-06-27 20:16:06.697
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares,$5.09,2.414%,2023-06-27 20:16:06.697
GOLD,Barrick Gold Corporation Common Stock (BC),$16.66,0.543%,2023-06-27 20:16:06.697
GOLF,Acushnet Holdings Corp. Common Stock,$53.78,4.265%,2023-06-27 20:16:06.697
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$12.28,1.153%,2023-06-27 20:16:06.697
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$18.0865,-1.059%,2023-06-27 20:16:06.697
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$16.545,1.379%,2023-06-27 20:16:06.697
GOOG,Alphabet Inc. Class C Capital Stock,$119.01,-0.067%,2023-06-27 20:16:06.697
GOOGL,Alphabet Inc. Class A Common Stock,$118.33,-0.008%,2023-06-27 20:16:06.697
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,$16.27,2.07%,2023-06-27 20:16:06.697
GORO,Gold Resource Corporation Common Stock,$0.635,-6.782%,2023-06-27 20:16:06.697
GOSS,Gossamer Bio Inc. Common Stock,$1.33,-3.623%,2023-06-27 20:16:06.697
GOTU,Gaotu Techedu Inc. American Depositary Shares,$3.01,2.381%,2023-06-27 20:16:06.697
GOVX,GeoVax Labs Inc. Common Stock,$0.5485,-2.054%,2023-06-27 20:16:06.697
GOVXW,GeoVax Labs Inc. Warrants,$0.19,5.614%,2023-06-27 20:16:06.697
GP,GreenPower Motor Company Inc. Common Shares,$2.71,4.231%,2023-06-27 20:16:06.697
GPAC,Global Partner Acquisition Corp II Class A Ordinary Share,$10.595,0.00%,2023-06-27 20:16:06.697
GPACW,Global Partner Acquisition Corp II Warrant,$0.0328,-10.87%,2023-06-27 20:16:06.697
GPC,Genuine Parts Company Common Stock,$164.95,1.414%,2023-06-27 20:16:06.697
GPCR,Structure Therapeutics Inc. American Depositary Shares,$37.53,8.156%,2023-06-27 20:16:06.697
GPI,Group 1 Automotive Inc. Common Stock,$253.59,2.548%,2023-06-27 20:16:06.697
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,$24.44,-0.143%,2023-06-27 20:16:06.697
GPK,Graphic Packaging Holding Company,$24.22,1.043%,2023-06-27 20:16:06.697
GPMT,Granite Point Mortgage Trust Inc. Common Stock,$5.32,0.377%,2023-06-27 20:16:06.697
GPMT^A,Granite Point Mortgage Trust Inc. 7.00% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$17.0999,1.033%,2023-06-27 20:16:06.697
GPN,Global Payments Inc. Common Stock,$95.90,-0.642%,2023-06-27 20:16:06.697
GPOR,Gulfport Energy Corporation Common Shares,$98.22,1.973%,2023-06-27 20:16:06.697
GPP,Green Plains Partners LP Common Units,$12.42,1.803%,2023-06-27 20:16:06.697
GPRE,Green Plains Inc. Common Stock,$30.595,1.746%,2023-06-27 20:16:06.697
GPRK,Geopark Ltd Common Shares,$9.88,-0.403%,2023-06-27 20:16:06.697
GPRO,GoPro Inc. Class A Common Stock,$4.12,1.229%,2023-06-27 20:16:06.697
GPS,Gap Inc. (The) Common Stock,$8.92,1.134%,2023-06-27 20:16:06.697
GRAB,Grab Holdings Limited Class A Ordinary Shares,$3.27,2.188%,2023-06-27 20:16:06.697
GRABW,Grab Holdings Limited Warrant,$0.477,2.581%,2023-06-27 20:16:06.697
GRBK,Green Brick Partners Inc. Common Stock,$55.19,3.897%,2023-06-27 20:16:06.697
GRBK^A,Green Brick Partners Inc. Depositary Shares (each representing a 1/1000th fractional interest in a share of 5.75% Series A Cumulative Perpetual Preferred Stock),$19.39,0.259%,2023-06-27 20:16:06.697
GRC,Gorman-Rupp Company (The) Common Stock,$27.44,0.845%,2023-06-27 20:16:06.697
GRCL,Gracell Biotechnologies Inc. American Depositary Shares,$4.07,-0.732%,2023-06-27 20:16:06.697
GREE,Greenidge Generation Holdings Inc. Class A Common Stock,$2.76,4.151%,2023-06-27 20:16:06.697
GREEL,Greenidge Generation Holdings Inc. 8.50% Senior Notes due 2026,$4.99,4.175%,2023-06-27 20:16:06.697
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.65,1.526%,2023-06-27 20:16:06.697
GRFS,Grifols S.A. American Depositary Shares,$8.99,0.559%,2023-06-27 20:16:06.697
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.30,-11.565%,2023-06-27 20:16:06.697
GRI,GRI Bio Inc. Common Stock,$4.90,1.66%,2023-06-27 20:16:06.697
GRIL,Muscle Maker Inc Common Stock,$1.20,0.84%,2023-06-27 20:16:06.697
GRIN,Grindrod Shipping Holdings Ltd. Ordinary Shares,$9.26,2.32%,2023-06-27 20:16:06.697
GRMN,Garmin Ltd. Common Stock (Switzerland),$103.50,0.995%,2023-06-27 20:16:06.697
GRNA,GreenLight Biosciences Holdings PBC Common Stock,$0.296,-0.034%,2023-06-27 20:16:06.697
GRNAW,GreenLight Biosciences Holdings PBC Warrant,$0.018,-13.462%,2023-06-27 20:16:06.697
GRND,Grindr Inc. Common Stock,$5.25,-2.597%,2023-06-27 20:16:06.697
GRNQ,Greenpro Capital Corp. Common Stock,$1.90,-21.162%,2023-06-27 20:16:06.697
GRNT,Granite Ridge Resources Inc. Common Stock,$6.45,4.708%,2023-06-27 20:16:06.697
GROM,Grom Social Enterprises Inc. Common Stock,$0.332,-10.753%,2023-06-27 20:16:06.697
GROMW,Grom Social Enterprises Inc. Warrants,$7.53,9.448%,2023-06-27 20:16:06.697
GROV,Grove Collaborative Holdings Inc. Class A Common Stock,$1.64,-2.959%,2023-06-27 20:16:06.697
GROW,U.S. Global Investors Inc. Class A Common Stock,$2.85,1.423%,2023-06-27 20:16:06.697
GROY,Gold Royalty Corp. Common Shares,$1.76,-1.124%,2023-06-27 20:16:06.697
GRPH,Graphite Bio Inc. Common Stock,$2.65,0.00%,2023-06-27 20:16:06.697
GRPN,Groupon Inc. Common Stock,$5.56,6.31%,2023-06-27 20:16:06.697
