especie,nombre,ultimo,var,hora
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$21.24,-0.235%,2023-06-27 20:16:06.697
AEG,AEGON N.V. Common Stock,$4.99,2.254%,2023-06-27 20:16:06.697
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$0.8982,4.442%,2023-06-27 20:16:06.697
AEHR,Aehr Test Systems Common Stock,$39.69,4.792%,2023-06-27 20:16:06.697
AEI,Alset Inc. Common Stock (TX),$1.55,4.013%,2023-06-27 20:16:06.697
AEIS,Advanced Energy Industries Inc. Common Stock,$108.57,3.164%,2023-06-27 20:16:06.697
AEL,American Equity Investment Life Holding Company Common Stock,$52.86,17.206%,2023-06-27 20:16:06.697
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,$22.23,2.16%,2023-06-27 20:16:06.697
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,$23.22,-0.514%,2023-06-27 20:16:06.697
AEM,Agnico Eagle Mines Limited Common Stock,$49.01,-0.366%,2023-06-27 20:16:06.697
AEMD,Aethlon Medical Inc. Common Stock,$0.3898,3.176%,2023-06-27 20:16:06.697
AENZ,Aenza S.A.A. American Depositary Shares,$2.04,5.155%,2023-06-27 20:16:06.697
AEO,American Eagle Outfitters Inc. Common Stock,$11.87,1.714%,2023-06-27 20:16:06.697
AEP,American Electric Power Company Inc. Common Stock,$83.44,-0.406%,2023-06-27 20:16:06.697
AEPPZ,American Electric Power Company Inc. Corporate Units,$49.20,-0.203%,2023-06-27 20:16:06.697
AER,AerCap Holdings N.V. Ordinary Shares,$62.38,2.464%,2023-06-27 20:16:06.697
AES,The AES Corporation Common Stock,$20.91,0.966%,2023-06-27 20:16:06.697
AESC,The AES Corporation Corporate Units,$81.78,0.752%,2023-06-27 20:16:06.697
AESI,Atlas Energy Solutions Inc. Class A Common Stock,$16.70,-0.477%,2023-06-27 20:16:06.697
AEVA,Aeva Technologies Inc. Common Stock,$1.22,0.826%,2023-06-27 20:16:06.697
AEY,ADDvantage Technologies Group Inc. Common Stock,$0.6021,-4.58%,2023-06-27 20:16:06.697
AEYE,AudioEye Inc. Common Stock,$5.43,3.429%,2023-06-27 20:16:06.697
AEZS,Aeterna Zentaris Inc. Common Stock,$2.58,-3.911%,2023-06-27 20:16:06.697
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,$10.5991,-0.008%,2023-06-27 20:16:06.697
