especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
RUC3O,ARS,48hs,51400.0,52499.0,52000.0,-1.89,53000.0,53000.0,51000.0,31437,16208995.0,53000.0,17:00:03,ONS
RUC4D,MEP,CI,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RUC4D,MEP,48hs,99.0,103.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RUC4O,ARS,CI,47700.0,0.0,49163.5,0.56,49163.5,49163.5,49163.5,302,148473.0,48890.0,16:30:01,ONS
RUC4O,ARS,48hs,46900.0,51500.0,49500.0,-2.94,50500.0,51995.0,49500.0,3822,1928477.0,51000.0,17:00:10,ONS
RUC5D,MEP,CI,101.55,110.0,101.5,-3.33,101.5,101.5,101.5,118,119.0,105.0,16:30:01,ONS
RUC5D,MEP,48hs,101.0,107.0,103.5,-2.82,105.95,105.95,103.5,5991,6207.0,106.5,17:00:23,ONS
RUC5O,ARS,CI,51150.0,51600.0,51600.0,13.28,51600.0,51600.0,51600.0,200,103200.0,45550.0,16:30:17,ONS
RUC5O,ARS,48hs,51100.0,53000.0,52000.0,-0.38,52201.0,53100.0,51100.0,7478,3884499.0,52200.0,17:00:19,ONS
RUC6D,MEP,CI,99.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RUC6D,MEP,48hs,103.1,109.0,105.0,-1.5,105.0,107.7,104.0,15838,16722.0,106.6,17:00:14,ONS
RUC6O,ARS,CI,48600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
RUC6O,ARS,48hs,50000.0,52200.0,52200.0,0.38,52989.0,52989.0,51900.0,15408,8068755.0,52000.0,17:00:09,ONS
RUC7D,MEP,48hs,100.0,107.0,107.2,1.8,105.0,107.2,105.0,15424,16328.0,105.3,17:00:11,ONS
RUC7O,ARS,48hs,52125.0,53629.0,53600.0,-0.09,53200.0,54150.0,52225.0,17021,9118029.0,53650.0,17:00:18,ONS
SNS7O,ARS,CI,26050.0,26075.0,26050.0,-0.77,26150.0,26150.0,26050.0,1862,486172.0,26252.5,16:30:10,ONS
SNS8O,ARS,48hs,27000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
SNS9O,ARS,CI,26820.0,27388.0,26900.0,-3.93,27365.0,27388.0,26800.0,6850,1848069.0,27999.0,16:30:26,ONS
SNS9O,ARS,24hs,26660.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
SNS9O,ARS,48hs,26501.0,27500.0,27099.0,0.93,27499.0,27499.0,26813.0,275708,74287353.0,26850.0,17:00:25,ONS
TLC1D,MEP,CI,96.5,103.5,100.4,0.4,100.4,100.4,99.0,14000,13987.0,100.0,16:30:29,ONS
TLC1D,MEP,48hs,98.8,106.0,100.5,0.5,100.3,100.75,99.0,209000,209007.0,100.0,17:00:29,ONS
TLC1O,ARS,CI,49000.0,50200.0,48105.0,-2.82,49100.0,49500.0,48045.0,8000,3921500.0,49500.0,16:30:15,ONS
TLC1O,ARS,48hs,49600.0,49750.0,49750.0,0.48,50200.0,50200.0,49100.0,554000,275175405.0,49510.0,17:00:28,ONS
TLC5D,MEP,CI,103.0,106.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
TLC5D,MEP,48hs,103.3,105.0,104.2,0.53,103.8,104.45,103.4,30000,31166.0,103.65,17:00:24,ONS
TLC5O,ARS,CI,50000.0,52900.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
TLC5O,ARS,48hs,48950.0,52299.0,51850.0,0.19,51505.0,52499.0,51001.0,242000,124781275.0,51750.0,17:00:22,ONS
TLCGO,ARS,48hs,0.0,30600.0,30700.0,0.0,30700.0,30700.0,30700.0,900,276300.0,30700.0,17:00:26,ONS
TN52D,MEP,48hs,95.0,105.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
TN52O,ARS,48hs,29149.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
TSC2O,ARS,48hs,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
VSC3D,MEP,48hs,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,ONS
VSC3O,ARS,CI,53385.0,53484.0,53484.0,-1.58,53484.0,53484.0,53484.0,15,8022.0,54344.0,16:30:08,ONS
