especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
BK,ARS,48hs,11798.0,13396.5,12140.0,1.03,12100.0,12336.5,11986.5,71,865152.0,12016.5,17:00:01,CEDEARS
BNG,ARS,CI,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BNG,ARS,48hs,10950.0,11042.0,11027.5,0.98,10921.0,11027.5,10800.5,178,1943986.0,10921.0,17:00:01,CEDEARS
BNGD,MEP,48hs,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BP,ARS,CI,3475.0,0.0,3850.0,5.45,3782.5,3850.0,3782.5,4,15332.0,3651.0,16:30:00,CEDEARS
BP,ARS,48hs,3815.0,4500.0,3827.0,1.18,3858.5,3858.5,3805.0,176,672942.0,3782.5,17:00:01,CEDEARS
BPD,MEP,CI,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BPD,MEP,48hs,7.31,8.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BRFS,ARS,CI,2974.5,15345.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BRFS,ARS,48hs,2400.0,3250.0,3016.5,3.66,2979.0,3022.5,2956.5,1595,4771736.0,2910.0,17:00:01,CEDEARS
BRFSD,MEP,48hs,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BRKB,ARS,CI,8186.0,8200.0,8196.0,-1.58,8350.0,8350.0,8153.5,715,5866483.0,8327.5,16:30:00,CEDEARS
BRKB,ARS,24hs,6405.0,6100.0,6145.0,-5.46,6400.0,6400.0,6100.0,36,225300.0,6500.0,17:00:00,CEDEARS
BRKB,ARS,48hs,8000.0,8500.0,8234.0,-0.54,8279.5,8287.5,8186.5,5361,44117812.0,8278.5,17:00:02,CEDEARS
BRKBD,MEP,CI,16.5,16.95,16.5,-2.37,17.2,17.2,16.5,64,1096.0,16.9,16:30:00,CEDEARS
BRKBD,MEP,48hs,14.95,16.95,16.95,-0.29,17.0,17.0,16.2,366,6190.0,17.0,17:00:02,CEDEARS
BSBR,ARS,CI,3108.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
BSBR,ARS,48hs,3235.0,3535.0,3260.0,-2.6,3293.0,3293.0,3215.0,178,578151.0,3347.0,17:00:01,CEDEARS
C,ARS,CI,8300.0,8700.0,8582.0,4.79,8250.0,8599.0,8200.0,86,722516.0,8190.0,16:30:00,CEDEARS
C,ARS,24hs,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
C,ARS,48hs,8232.0,8700.0,8389.5,1.65,8389.5,8421.0,8255.0,2116,17658664.0,8253.5,17:00:01,CEDEARS
C.D,MEP,CI,16.15,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
C.D,MEP,48hs,15.5,18.0,17.25,3.29,16.4,17.25,16.3,35,584.0,16.7,17:00:01,CEDEARS
CAAP,ARS,CI,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CAAP,ARS,48hs,27750.0,30300.0,29544.5,0.53,29692.0,29692.0,29146.5,121,3579325.0,29388.0,17:00:02,CEDEARS
CAH,ARS,CI,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CAH,ARS,48hs,16030.0,16480.0,16296.0,0.28,16073.5,16296.0,16026.5,25,402378.0,16251.0,17:00:01,CEDEARS
CAT,ARS,CI,6860.0,7100.0,6995.0,-1.0,6800.0,7100.0,6800.0,33,227625.0,7065.5,16:30:00,CEDEARS
CAT,ARS,48hs,6500.0,7200.0,6911.5,-0.38,6900.0,6956.0,6836.5,1392,9580212.0,6937.86,17:00:01,CEDEARS
CATD,MEP,CI,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CATD,MEP,48hs,11.0,14.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CBRD,ARS,48hs,2318.5,2362.5,2362.0,3.28,2336.5,2362.0,2316.0,426,1005994.0,2287.0,17:00:01,CEDEARS
CDE,ARS,CI,1725.0,1780.0,1707.5,-2.43,1750.0,1750.0,1705.0,33,56355.0,1750.0,16:30:00,CEDEARS
CDE,ARS,48hs,1602.0,1912.0,1783.0,4.54,1750.0,1795.0,1740.0,7654,13486733.0,1705.5,17:00:01,CEDEARS
CL,ARS,CI,13000.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CL,ARS,48hs,13400.0,14973.0,13520.0,1.65,13406.5,13520.0,13300.0,39,521689.0,13300.0,17:00:01,CEDEARS
CLD,MEP,48hs,25.5,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
COIN,ARS,CI,2120.0,2130.0,2115.5,4.99,2045.0,2170.0,2000.0,12896,26221770.0,2015.0,16:30:00,CEDEARS
COIN,ARS,24hs,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
COIN,ARS,48hs,2046.0,2285.0,2150.5,5.03,2136.5,2156.0,2055.0,68815,145761509.0,2047.5,17:00:02,CEDEARS
COIND,MEP,48hs,3.75,4.5,4.12,-3.06,4.14,4.21,4.12,788,3291.0,4.25,17:00:02,CEDEARS
COST,ARS,CI,5629.0,6320.0,6320.0,6.89,6320.0,6320.0,6320.0,4,25280.0,5912.5,16:30:00,CEDEARS
COST,ARS,48hs,6040.0,8000.0,6015.0,-0.86,6124.0,6124.0,6015.0,242,1472187.0,6067.0,17:00:01,CEDEARS
CRM,ARS,CI,6825.0,6995.0,6966.5,3.21,6919.0,7000.0,6825.0,53,366994.0,6750.0,16:30:00,CEDEARS
CRM,ARS,48hs,6410.0,6920.0,6883.0,3.44,6899.0,6990.0,6815.0,1555,10709009.0,6654.0,17:00:01,CEDEARS
CRMD,MEP,48hs,13.6,13.75,13.7,0.74,13.75,13.75,13.7,101,1388.0,13.6,17:00:01,CEDEARS
CSCO,ARS,CI,5348.0,0.0,5336.5,-2.08,5390.0,5390.0,5301.0,5,26683.0,5450.0,16:30:00,CEDEARS
CSCO,ARS,24hs,5509.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CSCO,ARS,48hs,3620.0,5700.0,5536.5,2.0,5304.0,5560.0,5304.0,2610,14436815.0,5428.0,17:00:01,CEDEARS
CSCOD,MEP,CI,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CSCOD,MEP,48hs,10.6,11.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CVX,ARS,CI,9300.0,10549.5,10145.0,-0.54,10160.0,10600.0,10145.0,125,1297131.0,10200.0,16:30:00,CEDEARS
CVX,ARS,24hs,10045.0,0.0,10045.0,4.63,10045.0,10045.0,10045.0,6,60270.0,9600.5,17:00:00,CEDEARS
CVX,ARS,48hs,9650.0,10415.0,10220.0,0.68,10232.0,10277.0,10170.5,926,9465556.0,10151.0,17:00:01,CEDEARS
CVXD,MEP,CI,19.85,20.2,20.2,0.0,20.2,20.2,20.2,32,646.0,20.2,16:30:00,CEDEARS
CVXD,MEP,48hs,17.0,24.0,20.65,1.47,20.75,20.75,20.35,26,535.0,20.35,17:00:01,CEDEARS
CX,ARS,CI,3722.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
CX,ARS,48hs,2998.0,4215.0,3925.0,-0.11,3949.5,3949.5,3858.5,288,1120956.0,3929.5,17:00:01,CEDEARS
DD,ARS,CI,0.0,7999.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DD,ARS,48hs,7879.5,8000.0,7912.5,1.74,7881.0,7912.5,7881.0,22,173872.0,7777.5,17:00:01,CEDEARS
DE,ARS,CI,5550.0,0.0,5577.0,-1.56,5661.0,5661.0,5577.0,18,101730.0,5665.5,16:30:00,CEDEARS
